Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
195,Entry Long,Long,2023-11-02 11:00,34771.3,0.265568,32.13,0.35,8466.28,0.35,144.02,1.56,172.96,1.87
194,Exit Long,Exit,2023-11-02 02:00,35318.8,0.261451,252.33,2.81,8434.15,2.81,424.15,4.72,84.37,0.94
194,Entry Long,Long,2023-10-30 20:00,34353.7,0.261451,252.33,2.81,8434.15,2.81,424.15,4.72,84.37,0.94
193,Exit Long,Exit,2023-10-30 14:00,34415.7,0.26098,43.56,0.49,8181.82,0.49,158.47,1.77,48.23,0.54
193,Entry Long,Long,2023-10-29 23:00,34248.8,0.26098,43.56,0.49,8181.82,0.49,158.47,1.77,48.23,0.54
192,Exit Long,Exit,2023-10-28 20:00,34031.5,0.262646,-16.34,-0.18,8138.27,-0.18,106.16,1.19,181.93,2.03
192,Entry Long,Long,2023-10-26 05:00,34093.7,0.262646,-16.34,-0.18,8138.27,-0.18,106.16,1.19,181.93,2.03
191,Exit Long,Exit,2023-10-24 11:00,33789.8,0.265009,1045.25,13.22,8154.60,13.22,1435.79,18.15,34.61,0.44
191,Entry Long,Long,2023-10-22 14:00,29845.6,0.265009,1045.25,13.22,8154.60,13.22,1435.79,18.15,34.61,0.44
190,Exit Long,Exit,2023-10-20 11:00,29514.0,0.267987,313.06,4.12,7109.35,4.12,508.53,6.69,63.24,0.83
190,Entry Long,Long,2023-10-18 05:00,28345.8,0.267987,313.06,4.12,7109.35,4.12,508.53,6.69,63.24,0.83
189,Exit Long,Exit,2023-10-14 05:00,26869.0,0.282715,-173.62,-2.23,6796.29,-2.23,227.02,2.92,267.08,3.44
189,Entry Long,Long,2023-10-05 11:00,27483.1,0.282715,-173.62,-2.23,6796.29,-2.23,227.02,2.92,267.08,3.44
188,Exit Long,Exit,2023-10-04 23:00,27643.3,0.281107,42.03,0.54,6969.91,0.54,111.82,1.45,92.51,1.2
188,Entry Long,Long,2023-10-02 17:00,27493.8,0.281107,42.03,0.54,6969.91,0.54,111.82,1.45,92.51,1.2
187,Exit Long,Exit,2023-09-30 17:00,26962.8,0.286613,9.23,0.12,6927.88,0.12,46.26,0.6,6.62,0.09
187,Entry Long,Long,2023-09-30 02:00,26930.6,0.286613,9.23,0.12,6927.88,0.12,46.26,0.6,6.62,0.09
186,Exit Long,Exit,2023-09-29 08:00,26904.7,0.286888,-34.51,-0.45,6918.65,-0.45,81.85,1.06,294.06,3.79
186,Entry Long,Long,2023-09-19 23:00,27025.0,0.286888,-34.51,-0.45,6918.65,-0.45,81.85,1.06,294.06,3.79
185,Exit Long,Exit,2023-09-18 14:00,26768.0,0.289644,66.85,0.87,6953.16,0.87,252.25,3.28,47.82,0.62
185,Entry Long,Long,2023-09-17 08:00,26537.2,0.289644,66.85,0.87,6953.16,0.87,252.25,3.28,47.82,0.62
184,Exit Long,Exit,2023-07-27 08:00,29349.4,0.261968,-350.75,-4.36,6886.31,-4.36,20.80,0.26,475.71,5.92
184,Entry Long,Long,2023-07-14 11:00,30688.3,0.261968,-350.75,-4.36,6886.31,-4.36,20.80,0.26,475.71,5.92
183,Exit Long,Exit,2023-07-14 02:00,31245.5,0.257223,114.59,1.45,7237.06,1.45,262.34,3.31,282.69,3.57
183,Entry Long,Long,2023-07-04 14:00,30800.0,0.257223,114.59,1.45,7237.06,1.45,262.34,3.31,282.69,3.57
182,Exit Long,Exit,2023-07-03 05:00,30623.4,0.258707,35.78,0.45,7122.47,0.45,80.10,1.02,82.04,1.04
182,Entry Long,Long,2023-07-01 23:00,30485.1,0.258707,35.78,0.45,7122.47,0.45,80.10,1.02,82.04,1.04
181,Exit Long,Exit,2023-07-01 20:00,30544.0,0.258207,118.16,1.52,7086.69,1.52,164.61,2.12,42.60,0.55
181,Entry Long,Long,2023-06-30 08:00,30086.4,0.258207,118.16,1.52,7086.69,1.52,164.61,2.12,42.60,0.55
180,Exit Long,Exit,2023-06-29 14:00,30396.8,0.255571,98.50,1.28,6968.54,1.28,361.15,4.71,42.81,0.56
180,Entry Long,Long,2023-06-23 02:00,30011.4,0.255571,98.50,1.28,6968.54,1.28,361.15,4.71,42.81,0.56
179,Exit Long,Exit,2023-06-02 11:00,27055.0,0.283496,-200.94,-2.55,6870.04,-2.55,22.57,0.29,356.86,4.53
179,Entry Long,Long,2023-05-30 14:00,27763.8,0.283496,-200.94,-2.55,6870.04,-2.55,22.57,0.29,356.86,4.53
178,Exit Long,ExitSL=true,2023-05-11 11:00,26907.3,0.292522,-567.08,-6.72,7070.98,-6.72,85.83,1.02,612.80,7.26
178,Entry Long,Long,2023-05-06 17:00,28845.9,0.292522,-567.08,-6.72,7070.98,-6.72,85.83,1.02,612.80,7.26
177,Exit Long,Exit,2023-05-02 20:00,28507.6,0.296003,-173.28,-2.01,7638.06,-2.01,258.91,3.01,423.55,4.92
177,Entry Long,Long,2023-04-28 08:00,29093.0,0.296003,-173.28,-2.01,7638.06,-2.01,258.91,3.01,423.55,4.92
176,Exit Long,ExitSL=true,2023-04-21 14:00,27269.0,0.315792,-603.92,-6.55,7811.34,-6.55,101.65,1.1,633.95,6.88
176,Entry Long,Long,2023-04-19 02:00,29181.4,0.315792,-603.92,-6.55,7811.34,-6.55,101.65,1.1,633.95,6.88
175,Exit Long,Exit,2023-04-18 23:00,30267.0,0.304464,-34.31,-0.37,8415.27,-0.37,51.24,0.55,389.62,4.21
175,Entry Long,Long,2023-04-14 20:00,30379.7,0.304464,-34.31,-0.37,8415.27,-0.37,51.24,0.55,389.62,4.21
174,Exit Long,Exit,2023-04-14 14:00,30444.0,0.303822,51.35,0.56,8449.58,0.56,71.40,0.78,22.57,0.25
174,Entry Long,Long,2023-04-14 11:00,30275.0,0.303822,51.35,0.56,8449.58,0.56,71.40,0.78,22.57,0.25
173,Exit Long,Exit,2023-04-14 08:00,30597.4,0.300621,195.28,2.17,8398.23,2.17,322.33,3.58,43.44,0.48
173,Entry Long,Long,2023-04-12 14:00,29947.8,0.300621,195.28,2.17,8398.23,2.17,322.33,3.58,43.44,0.48
172,Exit Long,Exit,2023-04-11 20:00,29915.9,0.300941,461.73,5.41,8202.95,5.41,654.00,7.66,343.07,4.02
172,Entry Long,Long,2023-04-02 02:00,28381.6,0.300941,461.73,5.41,8202.95,5.41,654.00,7.66,343.07,4.02
171,Exit Long,Exit,2023-04-01 05:00,28373.3,0.301028,160.06,1.91,7741.22,1.91,295.94,3.53,98.04,1.17
171,Entry Long,Long,2023-03-30 11:00,27841.6,0.301028,160.06,1.91,7741.22,1.91,295.94,3.53,98.04,1.17
170,Exit Long,Exit,2023-03-30 08:00,28427.4,0.294865,429.82,5.4,7581.16,5.41,653.24,8.21,135.55,1.7
170,Entry Long,Long,2023-03-27 08:00,26969.7,0.294865,429.82,5.4,7581.16,5.41,653.24,8.21,135.55,1.7
169,Exit Long,Exit,2023-03-26 23:00,27712.0,0.286906,37.27,0.47,7151.33,0.47,263.06,3.32,171.86,2.17
169,Entry Long,Long,2023-03-24 05:00,27582.1,0.286906,37.27,0.47,7151.33,0.47,263.06,3.32,171.86,2.17
168,Exit Long,Exit,2023-03-24 02:00,28029.2,0.282351,108.59,1.39,7114.06,1.39,343.65,4.4,292.12,3.74
168,Entry Long,Long,2023-03-21 02:00,27644.6,0.282351,108.59,1.39,7114.06,1.39,343.65,4.4,292.12,3.74
167,Exit Long,Exit,2023-03-19 20:00,27433.7,0.284522,106.98,1.39,7005.47,1.39,378.41,4.92,66.41,0.86
167,Entry Long,Long,2023-03-18 23:00,27057.7,0.284522,106.98,1.39,7005.47,1.39,378.41,4.92,66.41,0.86
166,Exit Long,Exit,2023-03-18 20:00,27109.5,0.28399,803.52,11.65,6898.49,11.65,985.47,14.29,44.96,0.65
166,Entry Long,Long,2023-03-15 11:00,24280.1,0.28399,803.52,11.65,6898.49,11.65,985.47,14.29,44.96,0.65
165,Exit Long,Exit,2023-03-06 16:00,22406.0,0.307727,-286.16,-3.98,6094.97,-3.98,204.36,2.85,422.66,5.89
165,Entry Long,Long,2023-02-27 10:00,23335.9,0.307727,-286.16,-3.98,6094.97,-3.98,204.36,2.85,422.66,5.89
164,Exit Long,Exit,2023-02-27 01:00,23358.5,0.30742,45.34,0.64,6381.13,0.64,145.50,2.04,141.38,1.98
164,Entry Long,Long,2023-02-24 13:00,23211.0,0.30742,45.34,0.64,6381.13,0.64,145.50,2.04,141.38,1.98
163,Exit Long,ExitSL=true,2023-02-24 10:00,23064.5,0.309382,-466.92,-6.14,6335.78,-6.14,64.20,0.84,506.33,6.66
163,Entry Long,Long,2023-02-21 04:00,24573.7,0.309382,-466.92,-6.14,6335.78,-6.14,64.20,0.84,506.33,6.66
162,Exit Long,Exit,2023-02-21 01:00,24686.5,0.307971,100.40,1.34,6802.70,1.34,273.32,3.64,164.21,2.19
162,Entry Long,Long,2023-02-19 10:00,24360.5,0.307971,100.40,1.34,6802.70,1.34,273.32,3.64,164.21,2.19
161,Exit Long,Exit,2023-02-18 04:00,24517.6,0.30601,306.32,4.26,6702.30,4.26,458.98,6.38,52.94,0.74
161,Entry Long,Long,2023-02-16 16:00,23516.6,0.30601,306.32,4.26,6702.30,4.26,458.98,6.38,52.94,0.74
160,Exit Long,Exit,2023-02-16 04:00,24565.9,0.292925,854.67,13.48,6395.99,13.48,952.53,15.02,86.68,1.37
160,Entry Long,Long,2023-02-10 19:00,21648.2,0.292925,854.67,13.48,6395.99,13.48,952.53,15.02,86.68,1.37
159,Exit Long,ExitSL=true,2023-02-10 16:00,21625.2,0.293236,-417.13,-6.17,5541.32,-6.17,0,0,471.08,6.97
159,Entry Long,Long,2023-02-08 07:00,23047.7,0.293236,-417.13,-6.17,5541.32,-6.17,0,0,471.08,6.97
158,Exit Long,Exit,2023-02-08 01:00,23206.8,0.291225,-82.80,-1.21,5958.45,-1.21,64.97,0.95,251.24,3.67
158,Entry Long,Long,2023-02-02 16:00,23491.1,0.291225,-82.80,-1.21,5958.45,-1.21,64.97,0.95,251.24,3.67
157,Exit Long,Exit,2023-02-02 07:00,23611.2,0.289746,154.32,2.31,6041.24,2.31,343.46,5.14,167.65,2.51
157,Entry Long,Long,2023-01-30 04:00,23078.6,0.289746,154.32,2.31,6041.24,2.31,343.46,5.14,167.65,2.51
156,Exit Long,Exit,2023-01-30 01:00,23551.8,0.283924,218.31,3.37,5886.92,3.37,332.76,5.14,6.13,0.09
156,Entry Long,Long,2023-01-26 19:00,22782.9,0.283924,218.31,3.37,5886.92,3.37,332.76,5.14,6.13,0.09
155,Exit Long,Exit,2023-01-26 01:00,23000.0,0.281244,104.34,1.64,5668.61,1.64,334.91,5.26,85.50,1.34
155,Entry Long,Long,2023-01-24 16:00,22629.0,0.281244,104.34,1.64,5668.61,1.64,334.91,5.26,85.50,1.34
154,Exit Long,Exit,2023-01-24 04:00,22914.7,0.277727,127.62,2.05,5564.27,2.05,199.91,3.21,37.44,0.6
154,Entry Long,Long,2023-01-22 13:00,22455.2,0.277727,127.62,2.05,5564.27,2.05,199.91,3.21,37.44,0.6
153,Exit Long,Exit,2023-01-20 01:00,20942.6,0.297848,58.14,0.94,5436.66,0.94,265.62,4.3,102.28,1.66
153,Entry Long,Long,2023-01-16 01:00,20747.4,0.297848,58.14,0.94,5436.66,0.94,265.62,4.3,102.28,1.66
152,Exit Long,Exit,2023-01-09 16:00,17181.4,0.359605,91.70,1.51,5378.52,1.51,168.37,2.77,1.76,0.03
152,Entry Long,Long,2023-01-08 10:00,16926.4,0.359605,91.70,1.51,5378.52,1.51,168.37,2.77,1.76,0.03
151,Exit Long,ExitSL=true,2022-12-16 16:00,16631.0,0.365992,-397.43,-6.13,5286.82,-6.13,12.04,0.19,433.30,6.68
151,Entry Long,Long,2022-12-14 19:00,17716.9,0.365992,-397.43,-6.13,5286.82,-6.13,12.04,0.19,433.30,6.68
150,Exit Long,Exit,2022-12-14 13:00,17766.8,0.364945,242.32,3.88,5684.25,3.88,465.16,7.45,83.46,1.34
150,Entry Long,Long,2022-12-11 13:00,17102.8,0.364945,242.32,3.88,5684.25,3.88,465.16,7.45,83.46,1.34
149,Exit Long,Exit,2022-12-11 07:00,17154.7,0.36386,-4.15,-0.07,5441.93,-0.07,21.76,0.35,23.83,0.38
149,Entry Long,Long,2022-12-10 07:00,17166.1,0.36386,-4.15,-0.07,5441.93,-0.07,21.76,0.35,23.83,0.38
148,Exit Long,ExitSL=true,2022-11-07 22:00,19703.4,0.317004,-459.12,-6.85,5446.07,-6.85,50.91,0.76,573.52,8.55
148,Entry Long,Long,2022-11-05 23:00,21151.7,0.317004,-459.12,-6.85,5446.07,-6.85,50.91,0.76,573.52,8.55
147,Exit Long,Exit,2022-11-05 20:00,21238.9,0.315706,157.88,2.41,5905.19,2.41,234.00,3.57,224.09,3.42
147,Entry Long,Long,2022-10-30 08:00,20738.8,0.315706,157.88,2.41,5905.19,2.41,234.00,3.57,224.09,3.42
146,Exit Long,Exit,2022-10-29 20:00,20753.1,0.315485,446.70,7.32,5747.31,7.32,554.12,9.08,31.45,0.52
146,Entry Long,Long,2022-10-24 23:00,19337.2,0.315485,446.70,7.32,5747.31,7.32,554.12,9.08,31.45,0.52
145,Exit Long,Exit,2022-10-12 11:00,19090.7,0.319557,-325.21,-5.06,5300.61,-5.06,48.44,0.75,397.98,6.19
145,Entry Long,Long,2022-10-06 08:00,20108.4,0.319557,-325.21,-5.06,5300.61,-5.06,48.44,0.75,397.98,6.19
144,Exit Long,Exit,2022-10-06 05:00,20242.0,0.317448,114.82,1.82,5625.82,1.82,180.15,2.85,4.86,0.08
144,Entry Long,Long,2022-10-05 08:00,19880.3,0.317448,114.82,1.82,5625.82,1.82,180.15,2.85,4.86,0.08
143,Exit Long,ExitSL=true,2022-08-18 20:00,22815.8,0.276607,-469.29,-6.92,5511.00,-6.92,192.05,2.83,498.00,7.34
143,Entry Long,Long,2022-08-14 08:00,24512.4,0.276607,-469.29,-6.92,5511.00,-6.92,192.05,2.83,498.00,7.34
142,Exit Long,Exit,2022-08-13 05:00,24438.8,0.277439,139.75,2.1,5980.29,2.1,262.49,3.95,96.74,1.46
142,Entry Long,Long,2022-08-11 17:00,23935.1,0.277439,139.75,2.1,5980.29,2.1,262.49,3.95,96.74,1.46
141,Exit Long,Exit,2022-08-11 11:00,24339.5,0.27283,292.56,4.61,5840.55,4.61,446.79,7.04,173.85,2.74
141,Entry Long,Long,2022-08-09 05:00,23267.2,0.27283,292.56,4.61,5840.55,4.61,446.79,7.04,173.85,2.74
140,Exit Long,Exit,2022-08-08 11:00,23961.9,0.264921,267.04,4.39,5547.99,4.39,341.88,5.62,28.06,0.46
140,Entry Long,Long,2022-08-06 17:00,22953.9,0.264921,267.04,4.39,5547.99,4.39,341.88,5.62,28.06,0.46
139,Exit Long,Exit,2022-08-06 02:00,23154.7,0.262623,93.47,1.56,5280.95,1.56,175.48,2.93,109.28,1.83
139,Entry Long,Long,2022-08-04 02:00,22798.8,0.262623,93.47,1.56,5280.95,1.56,175.48,2.93,109.28,1.83
