Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
867,Exit Long,Open,,,,,,,,,,,
867,Entry Long,long,2024-02-12 07:00,48790.0,,,,,,,,,
866,Exit Long,Close entry(s) order long,2024-02-11 16:00,48297.7,1,417.70,0.87,46462.70,0.29,711.90,1.49,308.10,0.64
866,Entry Long,long,2024-02-10 13:00,47880.0,1,417.70,0.87,46462.70,0.29,711.90,1.49,308.10,0.64
865,Exit Long,Close entry(s) order long,2024-02-09 22:00,47330.0,1,3834.00,8.81,46045.00,2.7,4696.00,10.8,66.00,0.15
865,Entry Long,long,2024-02-07 10:00,43496.0,1,3834.00,8.81,46045.00,2.7,4696.00,10.8,66.00,0.15
864,Exit Long,Close entry(s) order long,2024-02-07 01:00,42941.6,1,115.70,0.27,42211.00,0.08,560.10,1.31,162.70,0.38
864,Entry Long,long,2024-02-06 04:00,42825.9,1,115.70,0.27,42211.00,0.08,560.10,1.31,162.70,0.38
863,Exit Long,Close entry(s) order long,2024-02-05 13:00,42428.1,1,-607.90,-1.41,42095.30,-0.43,542.90,1.26,704.00,1.64
863,Entry Long,long,2024-02-05 01:00,43036.0,1,-607.90,-1.41,42095.30,-0.43,542.90,1.26,704.00,1.64
862,Exit Long,Close entry(s) order long,2024-02-03 07:00,43042.2,1,-143.90,-0.33,42703.20,-0.1,48.70,0.11,211.40,0.49
862,Entry Long,long,2024-02-02 19:00,43186.1,1,-143.90,-0.33,42703.20,-0.1,48.70,0.11,211.40,0.49
861,Exit Long,Close entry(s) order long,2024-02-02 07:00,42804.9,1,-123.10,-0.29,42847.10,-0.09,502.00,1.17,373.00,0.87
861,Entry Long,long,2024-02-01 10:00,42928.0,1,-123.10,-0.29,42847.10,-0.09,502.00,1.17,373.00,0.87
860,Exit Long,Close entry(s) order long,2024-01-31 16:00,42580.3,1,-1131.50,-2.59,42970.20,-0.79,30.50,0.07,1431.10,3.27
860,Entry Long,long,2024-01-31 10:00,43711.8,1,-1131.50,-2.59,42970.20,-0.79,30.50,0.07,1431.10,3.27
859,Exit Long,Close entry(s) order long,2024-01-30 13:00,43559.0,1,1310.10,3.1,44101.70,0.92,1613.00,3.82,446.00,1.06
859,Entry Long,long,2024-01-29 04:00,42248.9,1,1310.10,3.1,44101.70,0.92,1613.00,3.82,446.00,1.06
858,Exit Long,Close entry(s) order long,2024-01-28 10:00,42165.8,1,101.30,0.24,42791.60,0.07,774.50,1.84,132.80,0.32
858,Entry Long,long,2024-01-27 13:00,42064.5,1,101.30,0.24,42791.60,0.07,774.50,1.84,132.80,0.32
857,Exit Long,Close entry(s) order long,2024-01-27 04:00,41760.9,1,1618.60,4.03,42690.30,1.15,2101.00,5.23,238.40,0.59
857,Entry Long,long,2024-01-25 19:00,40142.3,1,1618.60,4.03,42690.30,1.15,2101.00,5.23,238.40,0.59
856,Exit Long,Close entry(s) order long,2024-01-25 13:00,39836.8,1,-339.20,-0.84,41071.70,-0.24,110.60,0.28,621.90,1.55
856,Entry Long,long,2024-01-25 04:00,40176.0,1,-339.20,-0.84,41071.70,-0.24,110.60,0.28,621.90,1.55
855,Exit Long,Close entry(s) order long,2024-01-24 13:00,39548.7,1,-351.90,-0.88,41410.90,-0.25,652.70,1.64,384.60,0.96
855,Entry Long,long,2024-01-23 16:00,39900.6,1,-351.90,-0.88,41410.90,-0.25,652.70,1.64,384.60,0.96
854,Exit Long,Close entry(s) order long,2024-01-21 13:00,41647.7,1,-53.70,-0.13,41762.80,-0.04,174.60,0.42,173.00,0.41
854,Entry Long,long,2024-01-20 19:00,41701.4,1,-53.70,-0.13,41762.80,-0.04,174.60,0.42,173.00,0.41
853,Exit Long,Close entry(s) order long,2024-01-20 10:00,41587.6,1,351.40,0.85,41816.50,0.25,949.10,2.3,230.30,0.56
853,Entry Long,long,2024-01-19 10:00,41236.2,1,351.40,0.85,41816.50,0.25,949.10,2.3,230.30,0.56
852,Exit Long,Close entry(s) order long,2024-01-18 10:00,41811.7,1,-840.10,-1.97,41465.10,-0.59,273.20,0.64,1173.70,2.75
852,Entry Long,long,2024-01-17 19:00,42651.8,1,-840.10,-1.97,41465.10,-0.59,273.20,0.64,1173.70,2.75
851,Exit Long,Close entry(s) order long,2024-01-17 01:00,42723.2,1,40.40,0.09,42305.20,0.03,890.20,2.09,648.20,1.52
851,Entry Long,long,2024-01-15 01:00,42682.8,1,40.40,0.09,42305.20,0.03,890.20,2.09,648.20,1.52
850,Exit Long,Close entry(s) order long,2024-01-14 13:00,42509.3,1,-466.10,-1.08,42264.80,-0.33,33.20,0.08,776.30,1.81
850,Entry Long,long,2024-01-14 10:00,42975.4,1,-466.10,-1.08,42264.80,-0.33,33.20,0.08,776.30,1.81
849,Exit Long,Close entry(s) order long,2024-01-14 01:00,42996.4,1,100.90,0.24,42730.90,0.07,168.70,0.39,331.70,0.77
849,Entry Long,long,2024-01-13 10:00,42895.5,1,100.90,0.24,42730.90,0.07,168.70,0.39,331.70,0.77
848,Exit Long,Close entry(s) order long,2024-01-11 13:00,46248.6,1,126.30,0.27,42630.00,0.09,2866.70,6.22,975.30,2.11
848,Entry Long,long,2024-01-10 13:00,46122.3,1,126.30,0.27,42630.00,0.09,2866.70,6.22,975.30,2.11
