Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
519,Exit Long,Stop,2024-02-05 22:00,43041.6,0.097727,59.96,1.45,3406.74,1.45,59.96,1.45,9.59,0.23
519,Entry Long,Buy,2024-02-05 13:00,42428.1,0.097727,59.96,1.45,3406.74,1.45,59.96,1.45,9.59,0.23
518,Exit Long,Stop,2024-02-04 01:00,43074.3,0.096269,17.89,0.43,3346.78,0.43,17.89,0.43,14.99,0.36
518,Entry Long,Buy,2024-02-03 22:00,42888.5,0.096269,17.89,0.43,3346.78,0.43,17.89,0.43,14.99,0.36
517,Exit Long,Stop,2024-02-03 07:00,43150.8,0.095685,14.81,0.36,3328.90,0.36,14.81,0.36,11.09,0.27
517,Entry Long,Buy,2024-02-03 04:00,42996.0,0.095685,14.81,0.36,3328.90,0.36,14.81,0.36,11.09,0.27
516,Exit Long,Stop,2024-02-02 16:00,43276.6,0.095072,44.85,1.1,3314.09,1.1,64.36,1.58,4.73,0.12
516,Entry Long,Buy,2024-02-02 07:00,42804.9,0.095072,44.85,1.1,3314.09,1.1,64.36,1.58,4.73,0.12
515,Exit Long,Stop,2024-02-01 07:00,42782.4,0.095123,58.36,1.45,3269.24,1.45,58.36,1.45,26.61,0.66
515,Entry Long,Buy,2024-01-31 19:00,42168.9,0.095123,58.36,1.45,3269.24,1.45,58.36,1.45,26.61,0.66
514,Exit Long,Stop,2024-01-31 07:00,43673.6,0.091837,67.07,1.7,3210.88,1.7,67.07,1.7,54.39,1.38
514,Entry Long,Buy,2024-01-30 16:00,42943.3,0.091837,67.07,1.7,3210.88,1.7,67.07,1.7,54.39,1.38
513,Exit Long,Stop,2024-01-29 10:00,42992.8,0.091731,95.62,2.48,3143.81,2.48,124.42,3.23,7.03,0.18
513,Entry Long,Buy,2024-01-29 07:00,41950.4,0.091731,95.62,2.48,3143.81,2.48,124.42,3.23,7.03,0.18
512,Exit Long,Stop,2024-01-28 19:00,42464.1,0.090622,27.03,0.71,3048.19,0.71,27.03,0.71,49.18,1.29
512,Entry Long,Buy,2024-01-28 10:00,42165.8,0.090622,27.03,0.71,3048.19,0.71,27.03,0.71,49.18,1.29
511,Exit Long,Stop,2024-01-27 04:00,41760.9,0.091501,26.55,0.7,3021.16,0.7,29.91,0.79,7.36,0.19
511,Entry Long,Buy,2024-01-27 01:00,41470.7,0.091501,26.55,0.7,3021.16,0.7,29.91,0.79,7.36,0.19
510,Exit Long,Stop,2024-01-26 01:00,41130.2,0.092242,87.32,2.36,2994.61,2.36,87.32,2.36,149.86,4.04
510,Entry Long,Buy,2024-01-22 13:00,40183.6,0.092242,87.32,2.36,2994.61,2.36,87.32,2.36,149.86,4.04
509,Exit Long,Stop,2024-01-22 10:00,39669.4,0.093466,-291.22,-7.28,2907.29,-7.28,73.63,1.84,291.22,7.28
509,Entry Long,Buy,2024-01-12 16:00,42785.2,0.093466,-291.22,-7.28,2907.29,-7.28,73.63,1.84,291.22,7.28
508,Exit Long,Stop,2024-01-12 10:00,43804.6,0.09129,-150.02,-3.62,3198.51,-3.62,1.77,0.04,203.38,4.9
508,Entry Long,Buy,2024-01-12 07:00,45447.9,0.09129,-150.02,-3.62,3198.51,-3.62,1.77,0.04,203.38,4.9
507,Exit Long,Stop,2024-01-10 10:00,46402.2,0.089392,136.15,3.39,3348.53,3.39,140.17,3.49,6.53,0.16
507,Entry Long,Buy,2024-01-10 07:00,44879.1,0.089392,136.15,3.39,3348.53,3.39,140.17,3.49,6.53,0.16
506,Exit Long,Stop,2024-01-08 04:00,44937.2,0.089306,110.20,2.82,3212.38,2.82,110.20,2.82,275.35,7.05
506,Entry Long,Buy,2024-01-03 04:00,43703.2,0.089306,110.20,2.82,3212.38,2.82,110.20,2.82,275.35,7.05
505,Exit Long,Stop,2024-01-03 01:00,43611.5,0.089477,-121.39,-3.02,3102.17,-3.02,48.03,1.19,121.39,3.02
505,Entry Long,Buy,2024-01-02 10:00,44968.2,0.089477,-121.39,-3.02,3102.17,-3.02,48.03,1.19,121.39,3.02
504,Exit Long,Stop,2024-01-01 01:00,42685.6,0.094264,38.35,0.96,3223.57,0.96,46.57,1.17,9.57,0.24
504,Entry Long,Buy,2023-12-31 16:00,42278.8,0.094264,38.35,0.96,3223.57,0.96,46.57,1.17,9.57,0.24
503,Exit Long,Stop,2023-12-31 01:00,42695.1,0.093349,82.47,2.11,3185.22,2.11,82.47,2.11,47.37,1.21
503,Entry Long,Buy,2023-12-29 10:00,41811.6,0.093349,82.47,2.11,3185.22,2.11,82.47,2.11,47.37,1.21
502,Exit Long,Stop,2023-12-29 07:00,42045.7,0.092821,-82.14,-2.06,3102.75,-2.06,24.05,0.6,82.14,2.06
502,Entry Long,Buy,2023-12-28 01:00,42930.6,0.092821,-82.14,-2.06,3102.75,-2.06,24.05,0.6,82.14,2.06
501,Exit Long,Stop,2023-12-26 22:00,42706.3,0.093323,64.40,1.64,3184.88,1.64,64.40,1.64,16.62,0.42
501,Entry Long,Buy,2023-12-26 10:00,42016.2,0.093323,64.40,1.64,3184.88,1.64,64.40,1.64,16.62,0.42
500,Exit Long,Stop,2023-12-26 01:00,42425.3,0.09241,-109.41,-2.72,3120.48,-2.72,39.87,0.99,109.41,2.72
500,Entry Long,Buy,2023-12-22 01:00,43609.3,0.09241,-109.41,-2.72,3120.48,-2.72,39.87,0.99,109.41,2.72
499,Exit Long,Stop,2023-12-21 16:00,44102.3,0.091376,59.94,1.51,3229.89,1.51,59.94,1.51,2.77,0.07
499,Entry Long,Buy,2023-12-21 10:00,43446.3,0.091376,59.94,1.51,3229.89,1.51,59.94,1.51,2.77,0.07
498,Exit Long,Stop,2023-12-20 04:00,43885.8,0.090478,174.26,4.59,3169.95,4.59,174.26,4.59,157.20,4.14
498,Entry Long,Buy,2023-12-10 19:00,41959.8,0.090478,174.26,4.59,3169.95,4.59,174.26,4.59,157.20,4.14
497,Exit Long,Stop,2023-12-10 16:00,42988.7,0.088295,-74.91,-1.94,2995.69,-1.94,26.06,0.67,74.91,1.94
497,Entry Long,Buy,2023-12-09 01:00,43837.1,0.088295,-74.91,-1.94,2995.69,-1.94,26.06,0.67,74.91,1.94
496,Exit Long,Stop,2023-12-07 07:00,43910.0,0.088148,29.11,0.76,3070.60,0.76,29.11,0.76,66.16,1.72
496,Entry Long,Buy,2023-12-07 01:00,43579.8,0.088148,29.11,0.76,3070.60,0.76,29.11,0.76,66.16,1.72
495,Exit Long,Stop,2023-12-05 04:00,41972.8,0.091523,32.99,0.87,3041.49,0.87,32.99,0.87,4.53,0.12
495,Entry Long,Buy,2023-12-05 01:00,41612.3,0.091523,32.99,0.87,3041.49,0.87,32.99,0.87,4.53,0.12
494,Exit Long,Stop,2023-11-30 22:00,38346.5,0.099316,52.04,1.39,3008.50,1.39,52.04,1.39,32.51,0.87
494,Entry Long,Buy,2023-11-29 07:00,37822.5,0.099316,52.04,1.39,3008.50,1.39,52.04,1.39,32.51,0.87
493,Exit Long,Stop,2023-11-28 07:00,37496.1,0.100182,46.22,1.25,2956.46,1.25,46.22,1.25,32.23,0.87
493,Entry Long,Buy,2023-11-27 04:00,37034.7,0.100182,46.22,1.25,2956.46,1.25,46.22,1.25,32.23,0.87
492,Exit Long,Stop,2023-11-26 10:00,37601.5,0.098672,25.41,0.69,2910.23,0.69,25.41,0.69,22.06,0.6
492,Entry Long,Buy,2023-11-26 07:00,37344.0,0.098672,25.41,0.69,2910.23,0.69,25.41,0.69,22.06,0.6
491,Exit Long,Stop,2023-11-25 07:00,37791.9,0.097503,13.84,0.38,2884.83,0.38,13.84,0.38,2.93,0.08
491,Entry Long,Buy,2023-11-25 04:00,37650.0,0.097503,13.84,0.38,2884.83,0.38,13.84,0.38,2.93,0.08
490,Exit Long,Stop,2023-11-22 01:00,36612.4,0.100246,87.78,2.45,2870.99,2.45,87.78,2.45,11.71,0.33
490,Entry Long,Buy,2023-11-21 16:00,35736.8,0.100246,87.78,2.45,2870.99,2.45,87.78,2.45,11.71,0.33
489,Exit Long,Stop,2023-11-21 07:00,36631.4,0.09781,-52.67,-1.45,2783.22,-1.45,5.60,0.15,71.39,1.96
489,Entry Long,Buy,2023-11-21 04:00,37169.9,0.09781,-52.67,-1.45,2783.22,-1.45,5.60,0.15,71.39,1.96
488,Exit Long,Stop,2023-11-19 13:00,37357.7,0.097322,63.41,1.77,2835.89,1.77,63.41,1.77,117.44,3.29
488,Entry Long,Buy,2023-11-16 07:00,36706.2,0.097322,63.41,1.77,2835.89,1.77,63.41,1.77,117.44,3.29
487,Exit Long,Stop,2023-11-16 04:00,36674.7,0.09741,-61.00,-1.68,2772.48,-1.68,23.19,0.64,61.00,1.68
487,Entry Long,Buy,2023-11-16 01:00,37300.9,0.09741,-61.00,-1.68,2772.48,-1.68,23.19,0.64,61.00,1.68
486,Exit Long,Stop,2023-11-15 10:00,36701.3,0.099001,60.39,1.69,2833.48,1.69,60.39,1.69,133.78,3.74
